Start date,End date,Germany/Luxembourg [Eur/MWh],Forecasted prices [Eur/MWh]
01/01/2024 00:00,01/01/2024 00:15,39.9,39.5
01/01/2024 00:15,01/01/2024 00:30,0.0,0.0
01/01/2024 00:30,01/01/2024 00:45,-9.0,-9.1
01/01/2024 00:45,01/01/2024 01:00,-29.9,-26.3
01/01/2024 01:00,01/01/2024 01:15,25.3,28.3
01/01/2024 01:15,01/01/2024 01:30,-24.9,-23.2
01/01/2024 01:30,01/01/2024 01:45,-0.1,-0.1
01/01/2024 01:45,01/01/2024 02:00,-0.1,-0.1
01/01/2024 02:00,01/01/2024 02:15,-0.1,0.0
01/01/2024 02:15,01/01/2024 02:30,-0.1,-0.1
01/01/2024 02:30,01/01/2024 02:45,0.0,0.0
01/01/2024 02:45,01/01/2024 03:00,-0.4,-0.4
01/01/2024 03:00,01/01/2024 03:15,22.4,19.7
01/01/2024 03:15,01/01/2024 03:30,-0.1,-0.1
01/01/2024 03:30,01/01/2024 03:45,-32.4,-35.7
01/01/2024 03:45,01/01/2024 04:00,5.1,4.6
01/01/2024 04:00,01/01/2024 04:15,-0.1,-0.1
01/01/2024 04:15,01/01/2024 04:30,-0.1,-0.1
01/01/2024 04:30,01/01/2024 04:45,-8.6,-9.5
01/01/2024 04:45,01/01/2024 05:00,-0.1,-0.1
01/01/2024 05:00,01/01/2024 05:15,0.0,0.0
01/01/2024 05:15,01/01/2024 05:30,-22.2,-25.3
01/01/2024 05:30,01/01/2024 05:45,0.0,0.0
01/01/2024 05:45,01/01/2024 06:00,14.9,14.5
01/01/2024 06:00,01/01/2024 06:15,14.9,15.2
01/01/2024 06:15,01/01/2024 06:30,0.0,0.0
01/01/2024 06:30,01/01/2024 06:45,-0.1,0.0
01/01/2024 06:45,01/01/2024 07:00,-22.8,-23.2
01/01/2024 07:00,01/01/2024 07:15,-44.9,-41.8
01/01/2024 07:15,01/01/2024 07:30,-5.0,-5.0
01/01/2024 07:30,01/01/2024 07:45,-0.1,-0.1
01/01/2024 07:45,01/01/2024 08:00,49.9,56.4
01/01/2024 08:00,01/01/2024 08:15,-0.1,-0.1
01/01/2024 08:15,01/01/2024 08:30,-0.1,-0.1
01/01/2024 08:30,01/01/2024 08:45,-9.9,-11.1
01/01/2024 08:45,01/01/2024 09:00,-4.7,-4.5
01/01/2024 09:00,01/01/2024 09:15,-14.9,-16.7
01/01/2024 09:15,01/01/2024 09:30,-14.9,-14.6
01/01/2024 09:30,01/01/2024 09:45,-0.1,-0.1
01/01/2024 09:45,01/01/2024 10:00,11.6,11.0
01/01/2024 10:00,01/01/2024 10:15,-17.4,-17.1
01/01/2024 10:15,01/01/2024 10:30,-19.9,-18.7
01/01/2024 10:30,01/01/2024 10:45,13.2,13.8
01/01/2024 10:45,01/01/2024 11:00,0.0,0.0
01/01/2024 11:00,01/01/2024 11:15,8.9,9.9
01/01/2024 11:15,01/01/2024 11:30,-0.1,-0.1
01/01/2024 11:30,01/01/2024 11:45,-17.4,-18.3
01/01/2024 11:45,01/01/2024 12:00,-17.4,-17.2
01/01/2024 12:00,01/01/2024 12:15,-7.2,-7.0
01/01/2024 12:15,01/01/2024 12:30,-0.1,-0.1
01/01/2024 12:30,01/01/2024 12:45,-0.1,-0.1
01/01/2024 12:45,01/01/2024 13:00,-17.4,-16.9
01/01/2024 13:00,01/01/2024 13:15,-19.9,-21.9
01/01/2024 13:15,01/01/2024 13:30,-7.4,-8.6
01/01/2024 13:30,01/01/2024 13:45,-0.1,-0.1
01/01/2024 13:45,01/01/2024 14:00,-0.1,-0.1
01/01/2024 14:00,01/01/2024 14:15,12.2,11.2
01/01/2024 14:15,01/01/2024 14:30,-0.1,-0.1
01/01/2024 14:30,01/01/2024 14:45,-14.9,-15.1
01/01/2024 14:45,01/01/2024 15:00,-4.9,-5.6
01/01/2024 15:00,01/01/2024 15:15,-0.1,-0.1
01/01/2024 15:15,01/01/2024 15:30,0.0,0.0
01/01/2024 15:30,01/01/2024 15:45,2.6,2.4
01/01/2024 15:45,01/01/2024 16:00,21.5,22.3
01/01/2024 16:00,01/01/2024 16:15,0.0,0.0
01/01/2024 16:15,01/01/2024 16:30,2.6,2.4
01/01/2024 16:30,01/01/2024 16:45,20.1,22.9
01/01/2024 16:45,01/01/2024 17:00,81.0,77.7
01/01/2024 17:00,01/01/2024 17:15,7.6,7.7
01/01/2024 17:15,01/01/2024 17:30,17.6,19.7
01/01/2024 17:30,01/01/2024 17:45,54.3,51.6
01/01/2024 17:45,01/01/2024 18:00,84.9,91.7
01/01/2024 18:00,01/01/2024 18:15,77.4,67.3
01/01/2024 18:15,01/01/2024 18:30,27.6,25.9
01/01/2024 18:30,01/01/2024 18:45,32.6,36.2
01/01/2024 18:45,01/01/2024 19:00,27.6,26.2
01/01/2024 19:00,01/01/2024 19:15,30.1,32.5
01/01/2024 19:15,01/01/2024 19:30,71.1,74.6
01/01/2024 19:30,01/01/2024 19:45,25.1,27.6
01/01/2024 19:45,01/01/2024 20:00,25.1,23.0
01/01/2024 20:00,01/01/2024 20:15,30.1,27.4
01/01/2024 20:15,01/01/2024 20:30,79.9,68.7
01/01/2024 20:30,01/01/2024 20:45,46.4,46.0
01/01/2024 20:45,01/01/2024 21:00,20.1,18.5
01/01/2024 21:00,01/01/2024 21:15,79.9,88.7
01/01/2024 21:15,01/01/2024 21:30,20.1,22.5
01/01/2024 21:30,01/01/2024 21:45,35.3,34.6
01/01/2024 21:45,01/01/2024 22:00,15.1,16.5
01/01/2024 22:00,01/01/2024 22:15,79.9,89.5
01/01/2024 22:15,01/01/2024 22:30,32.7,31.1
01/01/2024 22:30,01/01/2024 22:45,15.1,16.4
01/01/2024 22:45,01/01/2024 23:00,10.1,10.2
01/01/2024 23:00,01/01/2024 23:15,74.9,71.2
01/01/2024 23:15,01/01/2024 23:30,15.1,16.9
01/01/2024 23:30,01/01/2024 23:45,10.1,8.9
01/01/2024 23:45,02/01/2024 00:00,5.1,4.5
02/01/2024 00:00,02/01/2024 00:15,74.9,70.4
02/01/2024 00:15,02/01/2024 00:30,56.1,60.6
02/01/2024 00:30,02/01/2024 00:45,7.6,8.1
02/01/2024 00:45,02/01/2024 01:00,5.1,5.8
02/01/2024 01:00,02/01/2024 01:15,67.4,71.5
02/01/2024 01:15,02/01/2024 01:30,10.1,10.3
02/01/2024 01:30,02/01/2024 01:45,40.8,37.6
02/01/2024 01:45,02/01/2024 02:00,0.0,0.0
02/01/2024 02:00,02/01/2024 02:15,42.9,41.6
02/01/2024 02:15,02/01/2024 02:30,5.1,4.3
02/01/2024 02:30,02/01/2024 02:45,54.9,61.5
02/01/2024 02:45,02/01/2024 03:00,0.1,0.1
02/01/2024 03:00,02/01/2024 03:15,30.2,31.4
02/01/2024 03:15,02/01/2024 03:30,2.6,2.5
02/01/2024 03:30,02/01/2024 03:45,2.6,2.4
02/01/2024 03:45,02/01/2024 04:00,54.9,56.0
02/01/2024 04:00,02/01/2024 04:15,2.6,3.0
02/01/2024 04:15,02/01/2024 04:30,2.6,2.2
02/01/2024 04:30,02/01/2024 04:45,27.4,26.3
02/01/2024 04:45,02/01/2024 05:00,57.5,51.7
02/01/2024 05:00,02/01/2024 05:15,-25.0,-23.0
02/01/2024 05:15,02/01/2024 05:30,-0.1,-0.1
02/01/2024 05:30,02/01/2024 05:45,5.1,4.5
02/01/2024 05:45,02/01/2024 06:00,152.1,155.2
02/01/2024 06:00,02/01/2024 06:15,-4.9,-4.7
02/01/2024 06:15,02/01/2024 06:30,37.5,41.7
02/01/2024 06:30,02/01/2024 06:45,69.9,65.7
02/01/2024 06:45,02/01/2024 07:00,84.9,79.0
02/01/2024 07:00,02/01/2024 07:15,54.9,56.6
02/01/2024 07:15,02/01/2024 07:30,70.0,79.1
02/01/2024 07:30,02/01/2024 07:45,85.0,86.7
02/01/2024 07:45,02/01/2024 08:00,110.1,110.1
02/01/2024 08:00,02/01/2024 08:15,20.1,22.9
02/01/2024 08:15,02/01/2024 08:30,82.4,75.0
02/01/2024 08:30,02/01/2024 08:45,71.2,68.3
02/01/2024 08:45,02/01/2024 09:00,92.4,95.2
02/01/2024 09:00,02/01/2024 09:15,84.9,74.7
02/01/2024 09:15,02/01/2024 09:30,79.9,83.9
02/01/2024 09:30,02/01/2024 09:45,87.4,79.5
02/01/2024 09:45,02/01/2024 10:00,89.9,85.4
02/01/2024 10:00,02/01/2024 10:15,75.0,72.7
02/01/2024 10:15,02/01/2024 10:30,87.4,93.5
