DATE_FROM;DATE_TO;PRODUCT_TYPE;TENDER_NUMBER;PRODUCTNAME;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEMAND_[MW];AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW];BELGIUM_DEMAND_[MW];BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW];DENMARK_DEMAND_[MW];DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DENMARK_DEFICIT(-)_SURPLUS(+)_[MW];FRANCE_DEMAND_[MW];FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FRANCE_DEFICIT(-)_SURPLUS(+)_[MW];GERMANY_DEMAND_[MW];GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW];GERMANY_DEFICIT(-)_SURPLUS(+)_[MW];NETHERLANDS_DEMAND_[MW];NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW];SLOVENIA_DEMAND_[MW];SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW];SWITZERLAND_DEMAND_[MW];SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW];CZECH_REPUBLIC_DEMAND_[MW];CZECH_REPUBLIC_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CZECH_REPUBLIC_DEFICIT(-)_SURPLUS(+)_[MW]
01.01.2024;01.01.2024;FCR;1;NEGPOS_00_04;114,80;72,00;114,80;11,00;93,00;219,04;-65,00;25,00;114,80;-16,00;486,00;5,77;145,00;564,00;114,80;34,00;110,00;114,80;-31,00;14,00;114,80;-7,00;62,00;114,80;-20,00;77,00;416,00;-51,00
01.01.2024;01.01.2024;FCR;1;NEGPOS_04_08;104,40;72,00;104,40;11,00;93,00;219,40;-65,00;25,00;104,40;-16,00;486,00;7,56;145,00;564,00;104,40;33,00;110,00;104,40;-28,00;14,00;104,40;-7,00;62,00;104,40;-22,00;77,00;416,00;-51,00
01.01.2024;01.01.2024;FCR;1;NEGPOS_08_12;68,80;72,00;68,80;22,00;93,00;220,12;-65,00;25,00;68,80;-21,00;486,00;8,80;145,00;564,00;68,80;46,00;110,00;68,80;-42,00;14,00;68,80;-13,00;62,00;68,80;-21,00;77,00;416,00;-51,00
01.01.2024;01.01.2024;FCR;1;NEGPOS_12_16;77,60;72,00;77,60;11,00;93,00;220,80;-65,00;25,00;77,60;-21,00;486,00;7,05;145,00;564,00;77,60;42,00;110,00;77,60;-28,00;14,00;77,60;-13,00;62,00;77,60;-20,00;77,00;390,40;-51,00
01.01.2024;01.01.2024;FCR;1;NEGPOS_16_20;72,40;72,00;72,40;20,00;93,00;221,16;-65,00;25,00;72,40;-22,00;486,00;6,80;145,00;564,00;72,40;50,00;110,00;72,40;-42,00;14,00;72,40;-14,00;62,00;72,40;-21,00;77,00;390,40;-51,00
01.01.2024;01.01.2024;FCR;1;NEGPOS_20_24;79,96;72,00;79,96;20,00;93,00;221,60;-65,00;25,00;79,96;-21,00;486,00;6,40;145,00;564,00;79,96;55,00;110,00;79,96;-49,00;14,00;79,96;-14,00;62,00;79,96;-20,00;77,00;390,40;-51,00
01.01.2024;01.01.2024;FCR;2;NEGPOS_00_04;-;-;-;-;1,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2024;01.01.2024;FCR;2;NEGPOS_04_08;-;-;-;-;1,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2024;01.01.2024;FCR;2;NEGPOS_08_12;-;-;-;-;1,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2024;01.01.2024;FCR;2;NEGPOS_12_16;-;-;-;-;1,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
