Time_Slot_Start,FCR_Power_Factor_Up_Sum,FCR_Power_Factor_Down_Sum
2024-01-01 00:00:00,0.9663,37.0611
2024-01-01 00:15:00,16.2926,0.1947
2024-01-01 00:30:00,7.3868,11.0658
2024-01-01 00:45:00,19.9332,0.0653
2024-01-01 01:00:00,0.0,96.4079
2024-01-01 01:15:00,37.3395,1.4847
2024-01-01 01:30:00,15.5458,8.4337
2024-01-01 01:45:00,6.1884,18.0258
2024-01-01 02:00:00,3.5711,20.4474
2024-01-01 02:15:00,15.2295,1.9158
2024-01-01 02:30:00,6.8611,0.0
2024-01-01 02:45:00,30.3721,0.1263
2024-01-01 03:00:00,0.0,37.8142
2024-01-01 03:15:00,4.1658,0.4726
2024-01-01 03:30:00,7.51,0.0
2024-01-01 03:45:00,9.4668,0.33
2024-01-01 04:00:00,4.3437,0.4205
2024-01-01 04:15:00,15.7611,0.0
2024-01-01 04:30:00,3.3468,0.02
2024-01-01 04:45:00,9.9116,0.1905
2024-01-01 05:00:00,10.1589,6.7289
2024-01-01 05:15:00,11.6995,0.0
2024-01-01 05:30:00,2.8137,0.1137
2024-01-01 05:45:00,9.8868,0.0763
2024-01-01 06:00:00,9.7858,0.2042
2024-01-01 06:15:00,37.0837,0.0
2024-01-01 06:30:00,19.6258,0.0
2024-01-01 06:45:00,4.7211,2.1095
2024-01-01 07:00:00,176.9784,0.0
2024-01-01 07:15:00,109.63,0.0
2024-01-01 07:30:00,82.0863,0.0
2024-01-01 07:45:00,65.0316,0.3489
2024-01-01 08:00:00,1.11,2.9226
2024-01-01 08:15:00,5.4279,1.7389
2024-01-01 08:30:00,23.8842,0.7142
2024-01-01 08:45:00,27.1979,0.2053
2024-01-01 09:00:00,4.6089,14.6126
2024-01-01 09:15:00,51.1389,0.0
2024-01-01 09:30:00,26.9742,0.1853
2024-01-01 09:45:00,43.3579,0.1905
2024-01-01 10:00:00,1.8342,1.1668
2024-01-01 10:15:00,6.1589,0.6968
2024-01-01 10:30:00,9.1074,0.4221
2024-01-01 10:45:00,10.1842,0.8068
2024-01-01 11:00:00,13.4947,9.6426
2024-01-01 11:15:00,14.9926,0.0011
2024-01-01 11:30:00,14.6484,1.3089
2024-01-01 11:45:00,1.37,7.4074
2024-01-01 12:00:00,0.0005,32.1058
2024-01-01 12:15:00,6.7516,5.5505
2024-01-01 12:30:00,1.2453,7.7968
2024-01-01 12:45:00,1.1258,8.0863
2024-01-01 13:00:00,12.9068,1.7774
2024-01-01 13:15:00,1.5032,9.6458
2024-01-01 13:30:00,3.4663,13.1116
2024-01-01 13:45:00,1.53,11.7211
2024-01-01 14:00:00,9.9574,26.9089
2024-01-01 14:15:00,8.0595,34.5905
2024-01-01 14:30:00,0.0,136.0642
2024-01-01 14:45:00,11.5268,15.7053
2024-01-01 15:00:00,44.6847,1.3621
2024-01-01 15:15:00,3.6274,41.9847
2024-01-01 15:30:00,0.2811,27.4632
2024-01-01 15:45:00,0.0021,55.8753
2024-01-01 16:00:00,2.8279,3.3753
2024-01-01 16:15:00,28.8258,7.8395
2024-01-01 16:30:00,1.5537,7.1674
2024-01-01 16:45:00,20.4958,0.1884
2024-01-01 17:00:00,18.4068,0.5105
2024-01-01 17:15:00,0.0005,17.3158
2024-01-01 17:30:00,7.71,2.2532
2024-01-01 17:45:00,6.7653,4.35
2024-01-01 18:00:00,18.8037,18.73
2024-01-01 18:15:00,14.5132,5.2126
2024-01-01 18:30:00,12.1326,0.0095
2024-01-01 18:45:00,3.1621,21.12
2024-01-01 19:00:00,0.2179,105.5026
2024-01-01 19:15:00,15.5868,12.7663
2024-01-01 19:30:00,44.2679,6.9542
2024-01-01 19:45:00,9.6253,0.3647
2024-01-01 20:00:00,0.6679,61.3916
2024-01-01 20:15:00,78.46,0.1116
2024-01-01 20:30:00,29.9784,2.6316
2024-01-01 20:45:00,54.3795,4.8637
2024-01-01 21:00:00,18.1547,68.3989
2024-01-01 21:15:00,45.51,0.2432
2024-01-01 21:30:00,17.5179,7.7516
2024-01-01 21:45:00,38.5658,0.0
2024-01-01 22:00:00,2.1711,27.35
2024-01-01 22:15:00,57.7221,0.0
2024-01-01 22:30:00,70.9111,6.4737
2024-01-01 22:45:00,187.5663,0.0
2024-01-01 23:00:00,42.5374,0.7868
2024-01-01 23:15:00,78.3295,0.0
2024-01-01 23:30:00,59.7132,0.0
2024-01-01 23:45:00,69.2189,0.0
2024-01-02 00:00:00,2.3747,16.7916
2024-01-02 00:15:00,11.2742,0.0
2024-01-02 00:30:00,2.1521,0.0932
2024-01-02 00:45:00,26.2411,0.0174
2024-01-02 01:00:00,5.4742,25.0911
2024-01-02 01:15:00,26.4605,0.0
2024-01-02 01:30:00,54.1389,0.0
2024-01-02 01:45:00,57.9453,0.0
2024-01-02 02:00:00,11.1705,0.0
2024-01-02 02:15:00,33.37,0.0
2024-01-02 02:30:00,13.2521,0.0
2024-01-02 02:45:00,51.6674,0.0
2024-01-02 03:00:00,3.0816,0.9616
2024-01-02 03:15:00,4.01,0.0
2024-01-02 03:30:00,7.6179,0.0005
2024-01-02 03:45:00,22.6068,0.4563
2024-01-02 04:00:00,14.6484,3.9326
2024-01-02 04:15:00,0.0,16.8568
2024-01-02 04:30:00,1.9726,2.6711
2024-01-02 04:45:00,59.5305,0.0
2024-01-02 05:00:00,113.0411,0.0
2024-01-02 05:15:00,73.0621,0.0
2024-01-02 05:30:00,7.4616,10.8405
2024-01-02 05:45:00,8.7684,2.0911
2024-01-02 06:00:00,153.1442,0.0
2024-01-02 06:15:00,5.9121,3.3584
2024-01-02 06:30:00,2.1679,44.6305
2024-01-02 06:45:00,5.3089,34.83
2024-01-02 07:00:00,34.7921,17.5374
2024-01-02 07:15:00,4.7847,7.0968
2024-01-02 07:30:00,5.6484,11.81
2024-01-02 07:45:00,2.5305,14.4111
2024-01-02 08:00:00,0.0,23.7195
2024-01-02 08:15:00,1.2563,2.7332
2024-01-02 08:30:00,20.2216,0.58
2024-01-02 08:45:00,19.9305,0.0568
2024-01-02 09:00:00,11.7784,30.89
2024-01-02 09:15:00,20.8784,0.9405
2024-01-02 09:30:00,3.9937,0.4611
2024-01-02 09:45:00,1.7768,6.7663
2024-01-02 10:00:00,4.7616,41.9432
2024-01-02 10:15:00,0.6479,6.1016
2024-01-02 10:30:00,1.5711,1.8632
2024-01-02 10:45:00,4.7268,2.4174
2024-01-02 11:00:00,8.3663,14.6726
2024-01-02 11:15:00,8.4095,0.1958
2024-01-02 11:30:00,1.8584,3.7605
2024-01-02 11:45:00,7.9753,0.4816
2024-01-02 12:00:00,0.1479,81.9216
2024-01-02 12:15:00,0.9937,6.2747
2024-01-02 12:30:00,0.3421,23.7505
2024-01-02 12:45:00,6.0853,0.6795
2024-01-02 13:00:00,10.8237,4.3621
2024-01-02 13:15:00,10.0595,29.3068
2024-01-02 13:30:00,0.2721,19.2047
2024-01-02 13:45:00,21.1847,0.0037
2024-01-02 14:00:00,7.3953,10.0
2024-01-02 14:15:00,0.0,34.3158
2024-01-02 14:30:00,0.3511,14.7984
2024-01-02 14:45:00,5.3989,5.0668
2024-01-02 15:00:00,34.2426,5.1316
2024-01-02 15:15:00,0.2584,13.1563
2024-01-02 15:30:00,0.8958,11.3295
2024-01-02 15:45:00,9.42,4.4489
2024-01-02 16:00:00,14.8953,1.9153
2024-01-02 16:15:00,8.29,8.1821
2024-01-02 16:30:00,0.3863,2.3005
2024-01-02 16:45:00,10.4179,8.2432
2024-01-02 17:00:00,16.4237,5.5363
2024-01-02 17:15:00,5.1158,2.5989
2024-01-02 17:30:00,3.8421,1.0668
2024-01-02 17:45:00,0.4237,29.0595
2024-01-02 18:00:00,17.2095,1.4989
2024-01-02 18:15:00,2.2142,9.31
2024-01-02 18:30:00,11.8353,7.8037
2024-01-02 18:45:00,1.6447,9.5047
2024-01-02 19:00:00,0.0163,90.9179
2024-01-02 19:15:00,50.1721,2.7368
2024-01-02 19:30:00,22.7332,22.2221
2024-01-02 19:45:00,17.9221,5.6826
2024-01-02 20:00:00,11.9942,66.6463
2024-01-02 20:15:00,82.0753,3.4847
2024-01-02 20:30:00,92.8421,0.0
2024-01-02 20:45:00,4.8811,18.3863
2024-01-02 21:00:00,35.1168,58.8595
2024-01-02 21:15:00,50.8332,1.0747
2024-01-02 21:30:00,9.7363,3.6484
2024-01-02 21:45:00,4.8421,3.7753
2024-01-02 22:00:00,0.4174,40.8995
2024-01-02 22:15:00,36.6347,1.9742
2024-01-02 22:30:00,49.21,0.0021
2024-01-02 22:45:00,146.9216,0.0
2024-01-02 23:00:00,0.0789,218.6268
2024-01-02 23:15:00,26.19,0.5268
2024-01-02 23:30:00,4.3674,3.0779
2024-01-02 23:45:00,3.45,0.3295
2024-01-03 00:00:00,3.8389,48.7421
2024-01-03 00:15:00,17.3095,0.1358
2024-01-03 00:30:00,7.8889,0.5816
2024-01-03 00:45:00,0.5026,97.6532
2024-01-03 01:00:00,5.6742,87.2663
2024-01-03 01:15:00,38.1505,0.0
2024-01-03 01:30:00,35.0105,0.1205
2024-01-03 01:45:00,45.5753,0.0
2024-01-03 02:00:00,17.1284,6.9821
2024-01-03 02:15:00,29.2342,0.0
2024-01-03 02:30:00,27.1268,0.0
2024-01-03 02:45:00,36.1216,0.0
2024-01-03 03:00:00,14.4684,0.0
2024-01-03 03:15:00,1.9947,3.3684
2024-01-03 03:30:00,17.1679,5.2289
2024-01-03 03:45:00,63.9716,0.0
2024-01-03 04:00:00,105.4358,21.1121
2024-01-03 04:15:00,121.7489,0.0
2024-01-03 04:30:00,16.7032,33.3889
2024-01-03 04:45:00,1.5732,11.1074
2024-01-03 05:00:00,93.2595,0.0
2024-01-03 05:15:00,23.3421,17.7179
2024-01-03 05:30:00,1.2795,30.6205
2024-01-03 05:45:00,3.1221,23.0926
2024-01-03 06:00:00,72.66,3.4774
2024-01-03 06:15:00,9.5863,19.5821
2024-01-03 06:30:00,9.9963,12.4874
2024-01-03 06:45:00,18.2332,19.2416
2024-01-03 07:00:00,25.0837,17.8811
2024-01-03 07:15:00,0.1084,29.2647
