Site,Avg Demand (kW),Peak Old (kW),Peak New (kW),Peak Reduction (%),Avg SOC (%),BTM Savings (€),Peak Savings (€),FCR Revenue (€),Net Benefit (€)
Site_01,55.30682707769126,97.44312796208531,152.2109004739337,-56.20485883125414,51.348255783425444,976.6419038355443,-13.448713177880514,239.7922439092635,1154.443929526912
Site_02,54.774828296703305,92.66272189349114,145.23124260355033,-56.73103448275862,50.6718227637701,977.7198776025969,-12.908667356557377,239.6790952019232,1155.9488004079471
Site_03,16.939649748322147,50.013422818791945,119.81227375577265,-139.56023603878322,48.637177618216576,949.3370351066707,-17.139728043422107,239.36626872497447,1123.0220707482076
Site_04,50.490579358740305,93.1629392971246,147.56549520766777,-58.395061728395106,50.863550954898486,981.5043572970451,-13.35903099630756,239.24742229195226,1158.8512435526743
Site_05,23.777997546346782,101.7563358778626,125.85160305343516,-23.67937776817548,47.52775587653774,941.4953842553698,-5.916806952821933,240.13461994375308,1127.1716922062856
Site_06,72.50698129995006,108.0,177.0944055944056,-63.97630147630149,50.48326089253797,984.6296550984339,-16.966745230222305,239.19291871530277,1158.3143235434989
Site_07,56.054502551020406,88.95272727272727,152.56115862311836,-71.5081294307806,50.41397274243977,977.2752287107114,-15.619615509125293,238.97653138313933,1152.09063954471
Site_08,40.68839613970588,95.33382352941177,142.42500000000004,-49.39608496459811,49.510321649035305,971.7153361969838,-11.56365680975772,239.41660607717708,1151.0267804243877
Site_09,45.8941538011529,105.97203355972832,163.3167612022496,-54.113076550711334,50.62536425034447,963.602981694446,-14.081507407684,241.87251783414115,1142.8524870808876
Site_10,52.16847991975084,76.4627311936073,151.59664488132734,-98.26213701087576,50.368962334609705,981.9118530412204,-18.449800106425318,238.58908456361516,1153.509632458395
Site_11,32.74824015427067,108.0,135.65583845478488,-25.607257828504526,49.590275699552045,955.0186955162292,-6.791136867794581,241.72283974301567,1141.408893351435
Site_12,16.524303417487687,85.3448275862069,108.62068965517246,-27.272727272727316,45.658266164263736,930.0281536994141,-5.715594748092151,240.11831564683976,1115.8893695581464
Site_13,18.822654890779045,70.148849797023,113.99188092016243,-62.500000000000064,48.077267587452454,943.9648553615498,-10.766045858381965,239.61832463461417,1124.2756290977666
Site_14,12.57642243143676,62.138681948424065,108.80458452722067,-75.09960159362556,45.09890696524801,928.2330427263777,-11.459227026868342,238.61369981898125,1106.8460104784751
Site_15,12.843335834333732,100.26756302521008,111.9236423210854,-11.624975160655548,46.00080394233036,920.5341676873279,-2.862253840886911,239.88027114835708,1109.0106799547827
Site_16,23.71948444700461,79.78064516129032,129.94838709677424,-62.88209606986905,48.086153981726525,951.8027503406383,-12.319134796404029,239.89170899074193,1130.8338194949608
Site_17,37.804274316109414,96.37933130699089,151.98784194528878,-57.69754768392372,48.67341959078642,963.1259480261731,-13.655163895186607,240.08964820516843,1141.0189272961395
Site_18,39.13859017363852,94.87292817679558,150.7139359299346,-58.85873749894106,48.979978947099895,969.0976957810476,-13.71225562758282,239.05189154345487,1145.895826656904
Site_19,45.1923209104725,77.08317214700193,150.30174081237914,-94.9864498644987,50.19863357092661,983.003930582222,-17.979470117441426,239.4675494447228,1155.950504869488
Site_20,24.039972922950366,103.23224568138194,112.76775431861807,-9.236947791164706,48.82999655511954,929.6762536991404,-2.3415288733834814,240.39156084081412,1119.1847806265557
Site_21,25.549077331266396,108.0,118.45742904841406,-9.682804674457458,47.8841771375456,944.5158764519833,-2.567914622047681,240.49765554665092,1133.9041123365712
Site_22,32.10765306122449,82.97142857142856,131.65714285714284,-58.67768595041323,49.19366383353039,959.914412385142,-11.955209738485554,240.12685524913917,1139.5445528557802
Site_23,14.597778440000086,78.63343461295247,109.70569273717172,-39.515326116889504,49.734734821009,924.1058134786308,-7.63006907413093,240.83209379466768,1108.7663331591523
Site_24,24.49656015554421,92.67748144074788,137.54829396193557,-48.41608967316968,47.72314660316277,948.0467559240544,-11.018426712997183,239.9008237662679,1128.3876479373098
Site_25,39.32410539888842,92.12564647494564,139.04553886220413,-50.93032633428385,49.15711343264928,970.3226060407651,-11.521596481155896,238.77235168193405,1149.0318562015277
Site_26,39.32410539888842,92.12564647494564,139.04553886220413,-50.93032633428385,49.060850441123456,970.029656217418,-11.521596481155896,238.80044279075008,1148.7669974869968
Site_27,42.179114906832304,108.0,139.51365580002565,-29.179310925949675,48.97414179059655,963.4153514154305,-7.738458195452576,239.71046844461932,1146.8458566245818
Site_28,38.366720538363715,108.0,153.5074183976261,-42.136498516320465,49.7194686833801,965.5290121315493,-11.174750942501337,237.99493882515407,1143.8076949741867
